Parameter ID (tdsUSEPAParameterCodes.txt),S Adt,S Avg Annual Precip,S EMC Value,Site ID,T Data Qualifier,T EMC Qual,T Parameter Name,T Pcode,NonDetectFlag
348,14000,,7.3,103,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,220,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,190,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,180,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,160,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,150,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,130,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,110,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,90,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,9.9,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,130000,,7.3,102,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,42000,,170,101,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,42000,,91,101,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,42000,,79,101,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,42000,,56,101,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,42000,,53,101,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,42000,,52,101,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,42000,,45,101,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,42000,,40,101,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
348,42000,,38,101,,,"Zinc, water, unfiltered, recoverable, micrograms per liter",p01092,FALSE
